name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
"Молоко Мое 6% 0,95 л",4870002324567,pcs,1035.00,Молоко с 6% жирности.,BAR_DAIRY,,
ВБД Чудо Йогурт Вишня-Черешня 2% 290 г,4690228107313,pcs,625.00,"Йогурт с вишней и черешней, 290 г.",BAR_DAIRY,,
Йогурт Чудо Клубника-Земляника 2% 290 г,4690228107290,pcs,625.00,Йогурт с клубникой и земляникой.,BAR_DAIRY,,
"Сырок Глазир Чудо 25,6% ваниль",4607041420284,pcs,420.00,Сырок глазированный с ванильным вкусом.,BAR_DAIRY,Чудо,
"Сырок Глазир Чудо 25,6%",4607041420307,pcs,420.00,Шоколадный сырок с глазурью.,BAR_DAIRY,Чудо,
"Сырок Глазир Чудо 28,7% Кокос",4607041420291,pcs,420.00,"Сырок с кокосовым вкусом и 28,7% жирности.",BAR_DAIRY,Чудо,
"Творожный десерт Чудо 4,2% персик-маракуйя",4690228008009,pcs,430.00,"Творожный десерт с персиком и маракуйей, 4,2%, 100 г.",BAR_DAIRY,Чудо,
"Творожные десерт Чудо 4,0% 100 г Вишня - Черешня",4690228006975,pcs,430.00,Творожный десерт с вишней и черешней.,BAR_DAIRY,Чудо,
"Творожный десерт Чудо 4,2% 100 г Персик Груша",4690228006913,pcs,460.00,Творожный десерт с персиком и грушей.,BAR_DAIRY,Чудо,
"Творожный десерт Чудо 4,2% 100 г Черника",4690228006920,pcs,430.00,Творожный десерт с черникой.,BAR_DAIRY,Чудо,
Чудо Десерт Взбитый Клубника Земляника 4% 100 г,4690228006968,pcs,460.00,Взбитый десерт с клубничным и земляничным вкусом.,BAR_DAIRY,,
"Чудо Йогурт Вишня-Черешня 1,9% 260 г",4690228106804,pcs,575.00,"Йогурт с вишней и черешней, 1,9%, 260 г.",BAR_DAIRY,Чудо,
"Йогурт Чудо Клубника-Земляника 1,9% 260 г",4690228106835,pcs,575.00,Йогурт с клубникой и земляникой.,BAR_DAIRY,Чудо,
"Чудо Йогурт Ягодное Мороженое 1,9% 260 г",4690228107030,pcs,575.00,Йогурт с ягодным вкусом.,BAR_DAIRY,Чудо,
"Чудо ПродЙог Клубника 2,5% 115 г",4690228008733,pcs,285.00,Йогурт с клубникой и низким содержанием жира.,BAR_DAIRY,Чудо,
"Чудо Продолжение Йогурт Персик Манго 2,5% 115 г",4690228008757,pcs,285.00,Йогурт с персиковым и манговым вкусом.,BAR_DAIRY,Чудо,
"Чудо Продолжительный Йогурт Персик-Маракуйя 2,5% 115 г",4690228108808,pcs,285.00,"Продолжительный йогурт с персиком и маракуйей, 2,5%, 115 г.",BAR_DAIRY,Чудо,
"Масло Домик в деревне 72,5% 0,18 кг",4607096006433,pcs,1195.00,"Масло с содержанием жира 72,5%.",BAR_DAIRY,,
"Масло Домик в деревне 82,5% 0,18 кг",4607096006464,pcs,1290.00,"Масло с жирностью 82,5%.",BAR_DAIRY,Домик в деревне,
Ламбер Сыр 50% 230 г,4690228015441,pcs,1795.00,Сыр с высоким содержанием жира.,BAR_DAIRY,,
Ламбер Сыр 55% 230 г,4690228109089,pcs,1880.00,Сыр с 55% жирности.,BAR_DAIRY,Ламбер,
"Молоко низколактозное Лактель 'Легкое утро' 3,25% 1 л",4870207314301,pcs,910.00,"Низколактозное молоко, 3,25%, 1 л.",BAR_DAIRY,Лактель,
"Молоко Лактель 2,5% 1 л",4870055002689,pcs,700.00,Молоко с витамином D.,BAR_DAIRY,Лактель,
"Молоко с витамином D Лактель 3,2% 1 л",4870055002696,pcs,760.00,Молоко с добавлением витамина D.,BAR_DAIRY,Лактель,
"Молоко низколактозное Лактель 'Легкое утро' 2,5% 1 л",4870207314295,pcs,850.00,Низколактозное молоко для легкого усвоения.,BAR_DAIRY,Лактель,
"Кефир ФМ 2,5% 1 кг",4870055000852,pcs,570.00,"Кефир с 2,5% жирности.",BAR_DAIRY,,
"Кефир 2,5% 0,5 кг",4870055000166,pcs,355.00,"Кефир 2,5%, 500 г.",BAR_DAIRY,,
"Кефир ФМ 2,3% 1,0 кг",4870207315186 4870207315469,pcs,525.00,"Кефир с содержанием жира 2,3%.",BAR_DAIRY,,
"Кефир ФМ 2,5% 0,9 кг",4870207311478,pcs,610.00,"Кефир с жирностью 2,5%.",BAR_DAIRY,,
"Кефир ФМ 1% 0,9 кг",4870207311485,pcs,610.00,Кефир с низким содержанием жира.,BAR_DAIRY,,
"БИО С Ваниль 3,2% 0,5 кг",48700055000197 48700055000192 4870055000197,pcs,460.00,"Био-продукт с ванильным вкусом и 3,2% жирности.",BAR_DAIRY,,
"БИО С Ванилью 3,2% 1 кг",4870055004287 4870055004282,pcs,745.00,"БИО-продукт с ванилью, 3,2%, 1 кг.",BAR_DAIRY,,
"БИО С Клубника 2,9% 0.9 кг",4870207314592,pcs,755.00,БИО йогурт с клубникой.,BAR_DAIRY,,
"БИО Клубника 2,9% 0,45 кг",4870207314264,pcs,470.00,Биопродукт с клубничным вкусом.,BAR_DAIRY,,
"БИО С Ваниль 3,2% 0,9 кг",4870207311850,pcs,755.00,Биойогурт с ванилью.,BAR_DAIRY,,
"Снежок 2% 0,45 кг",4870207312383 4870207312381,pcs,390.00,Снежок с 2% жирности.,BAR_DAIRY,,
"Снежок 2% 0,90 кг",4870207313229 4870207313221,pcs,660.00,"Снежок, 2%, 900 г.",BAR_DAIRY,,
"Снежок 2% 0,90 кг",4870207312888,pcs,555.00,Снежок с содержанием жира 2%.,BAR_DAIRY,,
"Живой Натуральный 2% 0,280 кг",4870207315292,pcs,380.00,Натуральный йогурт с жирностью 2%.,BAR_DAIRY,,
"Питьевой йогурт Клубника 2% 0,45 кг",4870207312130,pcs,460.00,Йогурт с клубникой.,BAR_DAIRY,,
"Питьевой йогурт Клубника 2% 0,90 кг",4870207313281,pcs,700.00,Питьевой йогурт с клубничным вкусом и 2% жирности.,BAR_DAIRY,,
"Питьевой йогурт Лесные ягоды 2% 0,45 кг",4870207314202,pcs,460.00,"Питьевой йогурт с лесными ягодами, 2%, 450 г.",BAR_DAIRY,,
"Питьевой йогурт Лесные ягоды 2% 0,90 кг",4870207314196,pcs,700.00,Питьевой йогурт с лесными ягодами.,BAR_DAIRY,,
"Питьевой йогурт Натуральный 2% 0,45 кг",4870207315308,pcs,435.00,Питьевой йогурт с жирностью 2%.,BAR_DAIRY,,
"Сметана Президент 20% 0,40 кг",4870055002542 4870055002542,pcs,800.00,Сметана с высоким содержанием жира.,BAR_DAIRY,Президент,
"Сметана Президент 20% 0,20 кг",4870055001798 4870055001792,pcs,500.00,Сметана с 20% жирности.,BAR_DAIRY,Президент,
"Сметана Президент 15% 0,40 кг",4870055001231 4870055001232,pcs,735.00,"Сметана 15%, 400 г.",BAR_DAIRY,Президент,
"Сметана Президент 15% 0,20 кг",4870055001248 4870055001242,pcs,450.00,Сметана с содержанием жира 15%.,BAR_DAIRY,Президент,
"Сметана Президент 10% 0,40 кг",4870207311454,pcs,700.00,Сметана с жирностью 10%.,BAR_DAIRY,Президент,
"Сметана Президент 10% 0,20 кг",4870006540208,pcs,430.00,Сметана с низким содержанием жира.,BAR_DAIRY,Президент,
"Сметана Домашняя Президент 25% 0,385 кг",4870207310563,pcs,900.00,Домашняя сметана с 25% жирности.,BAR_DAIRY,Президент,
"Творог Домашний Рассыпчатый Президент 0,1% 0,20 кг",4870207313960,pcs,570.00,"Творог домашний рассыпчатый, 0,1%, 200 г.",BAR_DAIRY,,
"Творог Домашний Президент 5% 0,20 кг",4870207313977,pcs,640.00,Творог домашний с содержанием жира 5%.,BAR_DAIRY,Президент,
"Творог Домашний Рассыпчатый Президент 5% 0,45 кг",4870207314004,pcs,1100.00,Рассыпчатый творог с жирностью 5%.,BAR_DAIRY,Президент,
"Творог Домашний Рассыпчатый Президент 9% 0,45 кг",4870207314011,pcs,1170.00,Рассыпчатый творог домашнего производства.,BAR_DAIRY,Президент,
"Йогурт греческий Ваниль 7,0% 0,130 кг",4870207313724,pcs,360.00,Греческий йогурт с ванильным вкусом и 7% жирности.,BAR_DAIRY,,
"Йогурт греческий Клубника 7,2% 0,130 кг",4870207313335,pcs,360.00,"Греческий йогурт с клубникой, 7,2%, 130 г.",BAR_DAIRY,,
"Йогурт греческий Миндаль-Фисташки 7,9% 0,130 кг",4870207313342,pcs,360.00,Греческий йогурт с миндалем и фисташками.,BAR_DAIRY,,
"Йогурт греческий Натуральный 8,4% 0,130 кг",4870207313328,pcs,360.00,"Греческий йогурт с жирностью 8,4%.",BAR_DAIRY,,
"Йогурт греческий Натуральный 8,4% 0,300 кг",4870207314394,pcs,650.00,Греческий йогурт с высоким содержанием жира.,BAR_DAIRY,,
"Йогурт Клубника 1,5% 0,110гр",4870207313366,pcs,235.00,Нежный йогурт с клубничным вкусом.,BAR_DAIRY,,
"Йогурт Персик 1,5% 0,110гр",4870207313533,pcs,240.00,Нежный йогурт с вкусом персика.,BAR_DAIRY,,
"Йогурт Вишня 1,5% 0,110гр",4870207313540,pcs,240.00,Нежный йогурт с вишневым вкусом.,BAR_DAIRY,,
Сыр Мастер Голландский 45%,2500203970011,kg,6765.00,Голландский сыр с жирностью 45%.,BAR_DAIRY,Мастер,
Сыр Мастер Российский 50%,2500203980010,kg,6765.00,Качественный сыр с содержанием жира 50%.,BAR_DAIRY,Мастер,
Сыр плавленый Президент 140 г 45%,4607037120013,pcs,1080.00,Плавленый сыр с высоким содержанием жира.,BAR_DAIRY,Президент,
Сыр плавленый Президент 200 г 45%,4607037120020,pcs,1235.00,Плавленый сыр с высоким содержанием жира.,BAR_DAIRY,Президент,
Сыр плавленый Президент с запеченной курицей 45% 400 г,4607037123908,pcs,2115.00,"Плавленый сыр с курицей, идеален для бутербродов.",BAR_DAIRY,Президент,
Сыр плавленый Президент с запечёнными колбасками 45% 400 г,4607037123922,pcs,2115.00,"Плавленый сыр с колбасками, жирность 45%.",BAR_DAIRY,Президент,
Сыр плавленый Президент Бри 45% 200 г,4607037122840,pcs,1300.00,Плавленый сыр Бри с содержанием жира 45%.,BAR_DAIRY,Президент,
Сыр плавленый Президент 400 г 45%,4607037123892,pcs,2115.00,Плавленый сыр с высоким содержанием жира.,BAR_DAIRY,Президент,
Сыр плавленый Президент 140 г 45% Чеддер,4607037122598,pcs,1080.00,Плавленый сыр Чеддер с высоким содержанием жира.,BAR_DAIRY,Президент,
Сыр плавленый Президент 140 г 45% Ветчина,4607037120051,pcs,855.00,"Плавленый сыр с ветчиной, удобный для перекуса.",BAR_DAIRY,Президент,
"Творожок взбитый Снежок 3,8% 0,1 кг.",4870207313359,pcs,300.00,"Взбитый творожок с жирностью 3,8%.",BAR_DAIRY,Снежок,
"Творожок Сузбеш ФМ Клубника 4% 0,1 кг",4870055002481,pcs,325.00,Творожок с клубничным вкусом и содержанием жира 4%.,BAR_DAIRY,Сузбеш,
"Творожок Сузбеше ФМ Персик 4% 0,1 кг.",4870055002504,pcs,325.00,Нежный творожок с персиковым вкусом.,BAR_DAIRY,Сузбеш,
"Ряженка ФМ 2,5% 0,5 кг.",4870055000043,pcs,400.00,Натуральная ряженка с низким содержанием жира.,BAR_DAIRY,ФМ,
"Молоко сгущенное с сахаром 8,5% 380 г",4870035005778,pcs,925.00,"Сгущенное молоко с сахаром, идеальное для десертов.",BAR_DAIRY,,
"Молоко сгущенное с сахаром 8,5% 270 г",4870035000735,pcs,735.00,"Цельное сгущенное молоко с сахаром, жирность 8,5%.",BAR_DAIRY,,
Сыр Сметанковый,2500203670010,kg,3510.00,Сыр с характерным сметанным вкусом.,BAR_DAIRY,,
"Ряженка ФМ 2,5% 1,0 кг",4870055006144,pcs,705.00,Классическая ряженка с низким содержанием жира.,BAR_DAIRY,,
"Молоко Лактель с витамином Д 1,5% 1 л",4870055002672,pcs,660.00,Молоко с добавлением витамина Д.,BAR_DAIRY,Лактель,
"Му-у молочный коктейль ФМ Ваниль 2% 0,200 мл",4870207314554,pcs,350.00,Ванильный молочный коктейль с низким содержанием жира.,BAR_DAIRY,,
"Му-у молочный коктейль ФМ Клубника 2% 0,200 мл",4870207314561,pcs,350.00,"Молочный коктейль с клубникой, жирность 2%.",BAR_DAIRY,ФМ,
Молочный коктейль Му-у Клубника 2% 1 л,4870207314929,pcs,965.00,Коктейль с клубничным вкусом и содержанием жира 2%.,BAR_DAIRY,Му-у,
"Му-у молочный коктейль ФМ Персик 2% 0,200 мл",4870207314578,pcs,350.00,Освежающий молочный коктейль с персиковым вкусом.,BAR_DAIRY,ФМ,
"Му-у молочный коктейль ФМ Шоколад 2% 0,200 мл",4870055000890,pcs,350.00,Вкусный шоколадный молочный коктейль.,BAR_DAIRY,ФМ,
Молочный коктейль ФМ Шоколад 2% 1 л,4870207315063,pcs,965.00,Шоколадный молочный коктейль с низким содержанием жира.,BAR_DAIRY,,
"Сливки Президент 11% 0,20 г",4601662006490,pcs,690.00,Сливки с жирностью 11%.,BAR_DAIRY,Президент,
"Сливки Президент 11% 0,50 г",4601662006476,pcs,1220.00,Сливки с содержанием жира 11%.,BAR_DAIRY,Президент,
"Сливки Президент для соуса 23% 0,50 г.",4601662006438,pcs,1880.00,Сливки для приготовления соусов с высоким содержанием жира.,BAR_DAIRY,Президент,
"Сыр рассольный Брынза Президент 0,25 кг. 45%.",8606002113131,pcs,1805.00,Соленая брынза с высоким содержанием жира.,BAR_DAIRY,Президент,
"Сыр рассольный Фета Салакис Президент 0,25 кг. 45%.",4606002110291 8606002110291,pcs,2100.00,"Рассольный сыр Фета, отлично подходит для салатов.",BAR_DAIRY,Президент,
Каймак Домашний 485 г,2500204510018,pcs,1940.00,"Домашний каймак, вес 485 г.",BAR_DAIRY,Айжан,
Каймак Домашний 340 г,2500204520017,pcs,1365.00,"Каймак с домашним вкусом, 340 г.",BAR_DAIRY,Домашний,
Каймак Домашний 245гр Айжан ИП,2500204530016,pcs,990.00,Домашний каймак с насыщенным вкусом.,BAR_DAIRY,Айжан,
Каймак Домашний 195гр Айжан ИП,2500204540015,pcs,785.00,Натуральный каймак с богатым вкусом.,BAR_DAIRY,Домашний,
Курт Домашний Айжан,2500204550014,kg,5500.00,"Домашний курт, традиционный молочный продукт.",BAR_DAIRY,,
Курт Домашний солёный 485 г,2500204560013,kg,4250.00,"Домашний солёный курт, вес 485 г.",BAR_DAIRY,Айжан,
Сметана домашняя 285 г,4870001029487,pcs,1140.00,"Домашняя сметана, 285 г.",BAR_DAIRY,Султан-Ата,
Творог домашний 300 г Султан-Ата,4870001029135,pcs,700.00,Натуральный домашний творог.,BAR_DAIRY,Султан-Ата,
"Молоко Новый день 2,5% 1 л",4870004711921,pcs,640.00,Молоко с низким содержанием жира в упаковке Тетрапак.,BAR_DAIRY,Новый день,
"Молоко Новый день 1,5% 1 л",4870004711907,pcs,565.00,Цельное молоко с низким содержанием жира.,BAR_DAIRY,,
"Молоко Новый день 3,2% 1 л",4870004711945,pcs,680.00,"Цельное молоко с жирностью 3,2%, упаковка Тетрапак.",BAR_DAIRY,Новый день,
Молоко Новый день 6% 1 лТетрапак с крышка.,4870004711969,pcs,750.00,"Молоко с содержанием жира 6%, 1 л.",BAR_DAIRY,Новый день,
"Молоко Новый день 2,5% 1 л",4870004710771,pcs,605.00,Свежайшее молоко с низким содержанием жира.,BAR_DAIRY,Новый день,
"Молоко Новый день 3,2% 1 л",4870004710795,pcs,620.00,Молоко с повышенным содержанием жира.,BAR_DAIRY,Новый день,
Молоко Новый день 6% 1 л,4870004710818,pcs,690.00,Цельное молоко с высоким содержанием жира.,BAR_DAIRY,,
"Молоко Просто 2,5%",4870004711501,pcs,580.00,"Молоко с жирностью 2,5%.",BAR_DAIRY,,
"Молоко Просто 3,2%",4870004711525,pcs,625.00,"Молоко с содержанием жира 3,2%.",BAR_DAIRY,Просто,
Молоко Просто 6%,4870004711549,pcs,655.00,Молоко с высоким содержанием жира.,BAR_DAIRY,,
Сырок творожный глазированный в темном шоколаде 23% 50 г,4602358005575,pcs,480.00,Глазированный творожный сырок с высоким содержанием жира.,BAR_DAIRY,,
Сырок творожный глазированный 23% 50 г,4602358005582,pcs,480.00,"Глазированный творожный сырок, сладкий и вкусный.",BAR_DAIRY,,
Сырок творожный глазированный с карамелью 23% 50 г,4602358006992,pcs,480.00,"Глазированный творожный сырок с карамелью, жирность 23%.",BAR_DAIRY,Кизк,
Сырок творожный глазированный Крем-Брюле Солёная карамель 15% 40 г,4810073009154,pcs,265.00,"Глазированный творожный сырок с соленой карамелью, 15% жира, 40 г.",BAR_DAIRY,МДЖ,
Сырок творож глаз Нежный кокос с наполнителем Кокос МДЖ 15% 40 г (30),4810073009321,pcs,265.00,Творожный сырок с кокосовым вкусом.,BAR_DAIRY,,
Сырок творожный глазированный Шок-орех с фундуком 15% 40 г,4810073009161,pcs,265.00,Творожный сырок с ореховым вкусом.,BAR_DAIRY,,
Сырок творожный глазированный Kurab'ye 23% 65 г,4810073008454,pcs,515.00,Глазированный творожный сырок с высоким содержанием жира.,BAR_DAIRY,Kurab'ye,
Сырок творожный глазированный на бисквите с наполнителем Ром 23% 65 г,4810073008423,pcs,525.00,"Глазированный творожный сырок с наполнителем Ром, жирность 23%.",BAR_DAIRY,,
Сырок творожный глазированный на венской вафле Малина 23% 65 г,4810073009093,pcs,515.00,"Глазированный творожный сырок с малиной на венской вафле, 23% жира, 65 г.",BAR_DAIRY,МДЖ,
Сырок творожный на вафле Трюфель 23% 65 г,4810073007259,pcs,515.00,Творожный сырок с трюфельным вкусом на вафле.,BAR_DAIRY,,
Сырок творожный глазированный Пражский 23% 65 г,4810073007495,pcs,425.00,Творожный сырок с насыщенным вкусом.,BAR_DAIRY,,
Сырок творожный глазированный на вафле Черника 23% 65 г,4810073007235,pcs,515.00,Глазированный творожный сырок с черничным вкусом.,BAR_DAIRY,,
"Биойогурт клубника-банан со злаками 1,5% 450 г",4870005358958,pcs,575.00,"Биойогурт с клубникой и бананом, жирность 1,5%.",BAR_DAIRY,,
"Биойогурт малина со злаками 1,5% 450 г",4870005358965,pcs,575.00,"Биойогурт с малиной и злаками, 1,5% жира, 450 г.",BAR_DAIRY,,
"Биойогурт чернослив со злаками 1,5% 450 г",4870005359207,pcs,550.00,Полезный биойогурт с черносливом и злаками.,BAR_DAIRY,,
"Воздушное суфле клубника-шоколад 2,5% 160 г",4870005359399,pcs,540.00,Легкое суфле с клубничным и шоколадным вкусом.,BAR_DAIRY,,
"Воздушное суфле Какос-шоколад 2,5% 160 г",4870005359382,pcs,540.00,Легкое воздушное суфле с шоколадом и кокосом.,BAR_DAIRY,,
"Йогурт ложковый Эмиль клубника 2,5% 275 г",4870005359368,pcs,510.00,"Ложковый йогурт с клубникой, жирность 2,5%.",BAR_DAIRY,Эмиль,
"Йогурт ложковый Эмиль малина 2,5% 275 г",4870005359351,pcs,510.00,"Ложковый йогурт с малиной, 2,5% жира, 275 г.",BAR_DAIRY,Эмиль,
"Йогурт питьевой Эмиль вишня-черешня 1,5% 900 г",4870005359580,pcs,775.00,Питьевой йогурт с вишневым и черешневым вкусом.,BAR_DAIRY,Эмиль,
"Йогурт питьевой Эмиль Клубника 1,5% 900 г",4870005357241,pcs,830.00,Питьевой йогурт с клубничным вкусом.,BAR_DAIRY,Эмиль,
"Йогурт питьевой Эмиль малина 1,5% 900 г",4870005357401,pcs,830.00,Питьевой йогурт с малиновым вкусом.,BAR_DAIRY,Эмиль,
"Кефир 2,5% 450 г",4870005359009,pcs,480.00,"Кефир с жирностью 2,5%.",BAR_DAIRY,,
"Кефир 2,5% 900 г",4870005358996,pcs,770.00,"Кефир с содержанием жира 2,5%, 900 г.",BAR_DAIRY,,
"Крепыш 2,5% 450 г",4870005359160,pcs,565.00,Крепкое молоко с низким содержанием жира.,BAR_DAIRY,Крепыш,
"Масло сливочное Крестьянское 72,5% 200 г",4870005350587,pcs,1420.00,Сливочное масло с высоким содержанием жира.,BAR_DAIRY,Крестьянское,
"Масло сливочное Крестьянское 72,5% 200 г",4870005350585,kg,5510.00,Сливочное масло с высоким содержанием жира.,BAR_DAIRY,Крестьянское,
"Ряженка 2,5% 450 г",4870005359177,pcs,450.00,Кисломолочный продукт в упаковке.,BAR_DAIRY,,
"Ряженка 2,5% 900 г",4870005359016,pcs,790.00,Кисломолочный продукт в упаковке пюрпак.,BAR_DAIRY,,
Сметана Домашняя 25% 280 г,4870005359283,pcs,1125.00,Натуральная сметана с высоким содержанием жира.,BAR_DAIRY,Домашняя,
Сметана из топленых сливок 15% 380 г,4870005357111,pcs,910.00,Сметана с низким содержанием жира.,BAR_DAIRY,,
Сметана 15% 180 г,4870005359214,pcs,615.00,Сметана с низким содержанием жира в удобной упаковке.,BAR_DAIRY,,
"Сметана, 15%, п/стакан, 380 г.",4870005350488,pcs,875.00,Кисломолочный продукт в упаковке.,BAR_DAIRY,,
"Снежок, 2,5%, Эмиль пюрпак, 450 г.",4870005359023,pcs,570.00,Кисломолочный продукт в упаковке пюрпак.,BAR_DAIRY,Эмиль,
Творог Крестьянский 5% 180 г,4870005359108,pcs,600.00,Нежный творог с низким содержанием жира.,BAR_DAIRY,,
"Творог, 5%, п/мешок, 380 г.",4870005359061,pcs,1160.00,Нежирный творог.,BAR_DAIRY,,
"Творожная масса клубника 4,5% 180 г",4870005359566,pcs,580.00,Клубничная творожная масса с низким содержанием жира.,BAR_DAIRY,,
"Творожная масса с малиной 4,5% 180 г",4870005359573,pcs,580.00,Сладкий творожный продукт с малиной.,BAR_DAIRY,,
"Творожная масса с ванилином 4,5% 180 г",4870005352840,pcs,585.00,Творожная масса с добавлением ванилина.,BAR_DAIRY,,
"Творожная масса с вареной сгущенкой и мюсли 4,5% 180 г",4870005359436,pcs,580.00,Сладкая творожная масса с добавлением мюсли.,BAR_DAIRY,,
"Творожная масса с грецким орехом 4,5% 180 г",4870005352864,pcs,580.00,Творожная масса с добавлением грецких орехов.,BAR_DAIRY,,
"Творожная масса с изюмом 4,5% 180 г",4870005352857,pcs,585.00,Творожная масса с изюмом и низким содержанием жира.,BAR_DAIRY,,
"Творожная масса с курагой 4,5% 180 г",4870005352888,pcs,585.00,Сладкий творожный продукт с курагой.,BAR_DAIRY,,
Творожный десерт клубника 10% 165 г,4870005359344,pcs,515.00,Десерт на основе творога со вкусом клубники.,BAR_DAIRY,,
Творожный десерт малина 10% 165 г,4870005359320,pcs,515.00,Вкусный творожный десерт с малиной.,BAR_DAIRY,,
Творожный десерт черника 10% 165 г,4870005359337,pcs,515.00,Десерт на основе творога с черникой.,BAR_DAIRY,,
"Токтамыш 2,5% 450 г",4870005359047,pcs,570.00,Токтамыш с низким содержанием жира.,BAR_DAIRY,,
"Токтамыш 2,5% 900 г",4870005359030,pcs,860.00,Кисломолочный продукт в упаковке.,BAR_DAIRY,,
"Молоко Мое 2,5% 0,95 л",4870001154462,pcs,725.00,Пастеризованное молоко.,BAR_DAIRY,Мое,
"Молоко Мое 3,2% 0,95 л",4870001154479,pcs,855.00,Свежайшее молоко с низким содержанием жира.,BAR_DAIRY,Мое,
"Молоко Мое Безлактоз 2,5% 0,95 л",4870002329722,pcs,990.00,Безлактозное молоко с низким содержанием жира.,BAR_DAIRY,Мое,
Сыр чечел,2500209230010,pcs,4030.00,Сыр чечел в удобной упаковке.,BAR_DAIRY,,
"кефир 2,5%, 0,450 кг. п\п Натиже",4870003750273,pcs,265.00,Кисломолочный напиток в упаковке.,BAR_DAIRY,Натиже,
"кефир 2,5%, 1 кг. ф\п Натиже",4870003751065,pcs,,Кисломолочный продукт.,BAR_DAIRY,,
"Кефир Classic 2,5% 0,9 кг",4870003751485,pcs,495.00,Классический кефир с низким содержанием жира.,BAR_DAIRY,Classic,
"Кефир Protein 1% 0,9 кг",4870003751492,pcs,,Кефир с низким содержанием жира.,BAR_DAIRY,Protein,
"Айран турецкий 1,4% 0,25 кг KOKSHE milk Натиже",4870003750990,pcs,,Турецкий айран с низким содержанием жира.,BAR_DAIRY,KOKSHE milk,
"Молоко 2,2% 0,9 л",4870003750358,pcs,,Коровье молоко в упаковке.,BAR_DAIRY,Натиже,
"Молоко 3,2% 0,9 л ф/п Кокшетау Натиже",4870003750983,pcs,,Пастеризованное молоко.,BAR_DAIRY,Кокшетау,
"Ацидофилин 1,5% 0,9 кг",4870003751355,pcs,640.00,Полезный ацидофилин с низким содержанием жира.,BAR_DAIRY,,
"Йогурт клубника-малина 1,5% 0,45 кг",4870003751300,pcs,355.00,Йогурт с клубникой и малиной.,BAR_DAIRY,,
"Йогурт персик-абрикос 1,5%, 0,45 кгНатиже",4870003751331,pcs,,Йогурт с персиком и абрикосом.,BAR_DAIRY,,
"Йогурт со вкусом манго - маракуйя 1,5% 0,45 кг п/п Натиже",4870003752932,pcs,,Йогурт с фруктовым вкусом в упаковке.,BAR_DAIRY,Натиже,
"MIO-E с вит. Злаки-Отруби 1,5% 0,45 кг",4870003750808,pcs,,Кисломолочный продукт с добавлением витаминов и злаков.,BAR_DAIRY,Натиже,
"MIO-B с вит. Клубника 1,5% 0,45 кг",4870003750860,pcs,,Напиток с клубничным вкусом и витаминами.,BAR_DAIRY,,
"MIO-C с вит. Персик-Маракуйя 1,5% 0,45 кг",4870003750822,pcs,,Напиток с персиком и маракуйей.,BAR_DAIRY,MIO-C,
"MIO-D с вит. чернослив-Орех 1,5% 0,45 кг. Натиже",4870003751096,pcs,,Йогурт с черносливом и орехами.,BAR_DAIRY,,
"MIO-S смородина - малина - ромашка 1,5% 0,45 кг п/п Натиже",4870003752949,pcs,,Йогурт с ягодным вкусом в упаковке.,BAR_DAIRY,Натиже,
"Живой йогурт со вкусом малины 1,5% 0,9 кг",4870003752604,pcs,640.00,Йогурт с пробиотиками и малиновым вкусом.,BAR_DAIRY,Натиже,
