barcode,old_name,new_name,brand,productDesc,confidence,changes,error
4606002110291 8606002110291,"Сыр рассольный Фета Салакис Президент 0,25 кг. 45%.","Сыр рассольный Фета Салакис Президент 0,25 кг. 45%.",Президент,Сыр Фета с жирностью 45%.,high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": true, ""other"": true}",
2500204530016,Каймак Домашний 245гр Айжан ИП,Каймак Домашний 245гр Айжан ИП,,"Домашний каймак, вес 245 г.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
2500204560013,Курт Домашний сол Айжан ИП,Курт Домашний соленый,,Домашний соленый курт.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870004711921,"Молоко Новый день 2,5% 1 лТетрапак с крышка.","Молоко Новый день 2,5% 1 л",Новый день,"Молоко с жирностью 2,5%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": true, ""other"": true}",
4870004711969,Молоко Новый день 6% 1 лТетрапак с крышка.,Молоко Новый день 6% 1 лТетрапак с крышка.,Новый день,Молоко с жирностью 6%.,high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": true, ""other"": true}",
4870004710818,Молоко Новый день 6% 1 л.,Молоко Новый день 6% 1 л,Новый день,Молоко с жирностью 6%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870004711549,Молоко Просто 6%,Молоко Просто 6%,,Молоко с жирностью 6%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4602358006992,Сырок творож. глазирован бел. шок с карамелью 23% 50 г (12) Кизк,Сырок творожный глазированный с карамелью 23% 50 г,Кизк,"Глазированный творожный сырок с карамелью, жирность 23%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": true, ""other"": true}",
4810073009161,Сырок творож глазир Шок-орех шок с напол Фундук в шок МДЖ 15% 40 г (30),Сырок творожный глазированный с орехами 15% 40 г,,"Глазированный творожный сырок с орехами, жирность 15%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": true}",
4810073009093,Сырок творож. глазирован.на венской вафле МАЛИНА МДЖ 23% 65 г (20),Сырок творожный глазированный на вафле Малина 23% 65 г,,"Глазированный творожный сырок с малиной, жирность 23%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": true}",
4810073007235,Сырок творож. глаз.на венской вафле ЧЕРНИКА МДЖИ 23% 65 г (20),Сырок творожный глазированный на венской вафле с черникой 23% 65 г,МДЖИ,"Сырок с черникой на вафле, глазированный.",high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}",
4870005359207,"Биойогурт чернослив со злаками, 1,5%, пюрпак, 450 г.","Биойогурт чернослив со злаками 1,5% 450 г",,Полезный биойогурт с черносливом и злаками.,high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": true}",
4870005359368,"Йогурт ложковый Эмиль клубника 2,5% стакан 275 г","Йогурт ложковый Эмиль клубника 2,5% 275 г",Эмиль,Ложковый йогурт с клубникой.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005357241,"Йогурт питьевой Эмиль Клубника 1,5% пэт бут 900 г","Йогурт питьевой Эмиль клубника 1,5% 900 г",Эмиль,Питьевой йогурт с клубникой.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005358996,"Кефир, 2,5%, пюрпак, 900 г.","Кефир 2,5% 900 г",,Кефир с низким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005350585,"Масло сливочное Крестьянское, 72,5%, фасованное 200 г.","Масло сливочное Крестьянское 72,5% 200 г",Крестьянское,Сливочное масло с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005359283,"Сметана ""Домашняя"", 25%,п/стакан, 280 г.",Сметана Домашняя 25% 280 г,Домашняя,Сметана с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005350488,"Сметана, 15%, п/стакан, 380 г.","Сметана, 15%, п/стакан, 380 г.",,Сметана с низким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005359061,"Творог, 5%, п/мешок, 380 г.","Творог, 5%, п/мешок, 380 г.",,Творог с низким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005352840,"Творожная масса с ванилином, 4,5%, п/стакан, 180 г.","Творожная масса с ванилином 4,5% 180 г",,Творожная масса с ванильным вкусом.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005352857,"Творожная масса с изюмом, 4,5%, п/стакан, 180 г.","Творожная масса с изюмом 4,5% 180 г",,Творожная масса с изюмом.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005359320,Творожный десерт малина 10% 165 г пэт стакан,Творожный десерт малина 10% 165 г,,Творожный десерт с малиной.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005359030,"Токтамыш, 2,5%, пюрпак, 900 г.","Токтамыш 2,5% 900 г",,Кисломолочный продукт.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870002329722,"Молоко Мое Безлактоз 2,5% 0,95 л","Молоко Мое Безлактоз 2,5% 0,95 л",Мое,Безлактозное молоко.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870003751065,"кефир 2,5%, 1 кг. ф\п Натиже","кефир 2,5%, 1 кг. ф\п Натиже",,Кефир с низким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870003750990,"Айран турецкий 1,4% 0,25 кг KOKSHE milk Натиже","Айран турецкий 1,4% 0,25 кг",KOKSHE,Традиционный турецкий айран с низким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": true}",
4870003751355,"Ацидофилин 1,5%, 0,9 кгНатиже","Ацидофилин 1,5% 0,9 кг",,Кисломолочный продукт с ацидофильными бактериями.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003752932,"Йогурт со вкусом манго - маракуйя 1,5% 0,45 кг п/п Натиже","Йогурт со вкусом манго и маракуйи 1,5% 0,45 кг",,Нежный йогурт с экзотическим вкусом манго и маракуйи.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": false, ""other"": true}",
4870003750822,"MIO-C с вит. Персик-Маракуйя 1,5% 0,45 кг. Натиже","MIO-C с вит. Персик-Маракуйя 1,5% 0,45 кг",,Йогурт с витаминами и вкусом персика и маракуйи.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003752604,"Живой йогурт со вкусом малины 1,5% 0,9 кг п/п Натиже","Живой йогурт со вкусом малины 1,5% 0,9 кг",,Полезный йогурт с живыми культурами и малиновым вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003753106,"MIOS смородина - малина - ромашка 1,5% 0.9 кг п/п, шт Натиже","MIOS смородина - малина - ромашка 1,5% 0.9 кг п/п, шт Натиже",,"Йогурт с ягодами и ромашкой, богатый витаминами.",high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": false, ""other"": true}",
4870003750150,"Снежок 1,5%, 0,45 кгНатиже","Снежок 1,5% 0,45 кг",,Кисломолочный продукт с легкой текстурой.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003750129 2575002590012,"Сметана 15%, 180 г.Натиже",Сметана 15% 180 г,,Классическая сметана с высоким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003750570,"Сметана 20%, 180 г.Натиже",Сметана 20% 180 г,,Сметана с повышенным содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003750556,"Творог ""Крестьянский"" 4%, 200 г.Натиже","Творог ""Крестьянский"" 4% 200 г",,Натуральный творог с низким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003751133,"Творожная масса с изюмом 4,5%, 200 г.Натиже","Творожная масса с изюмом 4,5% 200 г",,Сладкая творожная масса с изюмом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003750884,"Твор. масса Протейн+ Чернослив-Орех 1,5%, 140 г.Натиже","Творожная масса Протейн+ Чернослив-Орех 1,5% 140 г",,Творожная масса с добавлением чернослива и орехов.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003753311,"Масло ""Крестьянское"" 71,5% соленое 0,250 г Натиже","Масло ""Крестьянское"" 71,5% соленое 0,250 г Натиже",,Натуральное сливочное масло с высоким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003751775,"Завтрак с овсянкой, бананом и комплексом витаминов 2,5% 0,14 кг п/ст Натиже","Завтрак с овсянкой, бананом и витаминами 2,5% 0,14 кг",,Полезный завтрак с овсянкой и бананом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003752512,"Йогурт греческий 6% 0,14 кг п/ст Натиже","Йогурт греческий 6% 0,14 кг",,Классический греческий йогурт с высоким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003751690,Сыр плавленый Швейцарский 140гр. п/ст Натиже,Сыр плавленый Швейцарский 140гр. п/ст Натиже,Натиже,Плавленый сыр с характерным вкусом.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003750624,"Белые сыры-Сулугуни 45%, 0,35 кгНатиже","Белые сыры-Сулугуни 45%, 0,35 кгНатиже",Натиже,Сыр Сулугуни с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003752079,"Сыр мягкий Моцарелла 0,250кгНатиже","Сыр мягкий Моцарелла 0,250кгНатиже",Натиже,"Мягкий сыр Моцарелла, идеален для пиццы.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003753014,С фисташками 500 г Натиже,Сыр с фисташками 500 г,Натиже,Сыр с добавлением фисташек для особого вкуса.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870246170012,Сливочное 250 г Натиже,Сливочное масло 250 г,Натиже,Сливочное масло для приготовления и выпечки.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870003752611,"Живой йогурт со вкусом персик 1,5% 0,9 кг п/п Натиже","Йогурт живой со вкусом персика 1,5% 0,9 кг",Натиже,"Живой йогурт с персиковым вкусом, низкокалорийный.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870206411698 4870206415542,Активна Йогурт 120 г. отруби-злаки,Йогурт Активна 120 г отруби-злаки,Активна,Йогурт с отрубями и злаками для здоровья.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": true}",
4870206414996,Активиа 270гр Персик,Активиа 270гр Персик,Активиа,Йогурт Активиа с персиковым вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870206411599,Активиа 270 г Чернослив,Активиа 270 г Чернослив,Активиа,Йогурт Активиа с черносливом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870206411735,Активиа 670 г Клубника-Земляника,Активиа 670 г Клубника-Земляника,Активиа,Йогурт Активиа с клубникой и земляникой.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870206415313,Активиа 670 г Манго,Активиа 670 г Манго,Активиа,Йогурт Активиа с манго.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
8696368202594,"Актимель 1*95 г., С земляникой",Актимель 95 г с земляникой,Актимель,Напиток Актимель с земляничным вкусом.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
8696368202617,Актимель КИДС клубника банан,Актимель КИДС клубника-банан,Актимель,Напиток Актимель для детей с клубникой и бананом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870206415412,Данонино 100 г. Яблоко,Данонино 100 г Яблоко,Данонино,Йогурт Данонино с яблочным вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4600605026878,Растишка коктейль 210 г. ваниль,Растишка коктейль 210 г Ваниль,Растишка,Коктейль Растишка с ванильным вкусом.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4600605025994,Растишка пюре 85гр яб банан,Растишка пюре 85гр яб банан,Растишка,Пюре из яблок и бананов в удобной упаковке.,high,"{""spelling"": true, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4600605028858,"Сырок ваниль, 40 г, 20%",Сырок ванильный 40 г 20%,,Ванильный сырок с 20% жирности.,high,"{""spelling"": true, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870206415368,Данон 670 г Клубника,Данон клубника 670 г,Данон,Йогурт с клубничным вкусом.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4600605032350,Творог мягкий 5% 170 г,Творог мягкий 5% 170 г,,Мягкий творог с 5% жирности.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4810108009876,"ШД молоко 300 г 7,1% ж/б","Молоко ШД 300 г 7,1%",ШД,"Молоко с 7,1% жирности в жестяной упаковке.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870006420067,Сметана Зенченко 15%-200гр,Сметана Зенченко 15%-200гр,Зенченко,Сметана с 15% жирности.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870006420807,Сметана Зенченко 20%-400гр,Сметана Зенченко 20%-400гр,Зенченко,Сметана с 20% жирности.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4601662006452,"Сливки Президент для соуса 23% 0,20 г.","Сливки Президент для соуса 23% 0,20 г.",Президент,Сливки для соуса с 23% жирности.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
487005730259 4870005730259,"Кефир Родина 2,5%-1 л","Кефир Родина 2,5% 1 л",Родина,"Кефир с 2,5% жирности в упаковке 1 л.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005730167,Творог Родина со сливками 300гр 5%,Творог Родина со сливками 300гр 5%,Родина,Творог со сливками с 5% жирности.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005730143 4870005730143,"Сметана ""Родина"" 400гр-15%","Сметана ""Родина"" 400гр-15%",Родина,Сметана с 15% жирности в упаковке 400 г.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870005730648,"Масло Родина Сливочные 200гр 72,5% жирности","Масло Родина Сливочные 200гр 72,5% жирности",Родина,"Сливочное масло с 72,5% жирности.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870132003653,"Айран турецкий 1,2%-1 л Эмиль","Айран турецкий 1,2% 1 л Эмиль",Эмиль,"Турецкий айран с 1,2% жирности в упаковке 1 л.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870132001338,Сметана Эмиль 15% 400гр,Сметана Эмиль 15% 400гр,Эмиль,Сметана с 15% жирности в упаковке 400 г.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4607004890208,Сыр Блочки Сливочный Hohland 100гр,Сыр Блочки Сливочный Hohland 100гр,Блочки,Сливочный сыр в упаковке 100 г.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4607004892653,Сыр плавленый Hohland сливочный классич 150гр,Сыр плавленый Hohland сливочный классич 150гр,Hohland,Плавленый сыр с кремовой текстурой.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607004893094,Сыр плавленый Hohland Чизбургер 185гр,Сыр плавленый Hohland Чизбургер 185гр,Hohland,Плавленый сыр с вкусом чизбургера.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607004892806,Сыр плавленый Hohland Тройное удовольствие 140гр,Сыр плавленый Hohland Тройное удовольствие 140гр,Hohland,Плавленый сыр с тремя вкусами.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607004892943,Сыр плавленый Hohland грибы ассорти140гр,Сыр плавленый Hohland грибы ассорти140гр,Hohland,Плавленый сыр с грибами.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607004890147,Сыр плавленый Hohland Сливочный 200гр,Сыр плавленый Hohland Сливочный 200гр,Hohland,Кремовый плавленый сыр.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607004891373,Сыр творожен Hohland сливочный 140гр,Сыр творожен Hohland сливочный 140гр,Hohland,Творожный сыр с кремовой текстурой.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607004891397,Сыр творожен Hohland с зеленью 140гр,Сыр творожен Hohland с зеленью 140гр,Hohland,Творожный сыр с зеленью.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4870212681924,"АйранТурецкий Гормол 1,5%- 250гр","АйранТурецкий Гормол 1,5%- 250гр",Гормол,Турецкий айран с низким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
